diario,seccion,sustantivos,adjetivos,verbos,candidatos,terminos,etica,gestion,ideologia,personalidad,positiva,negativa,dsustantiva,dvalorativa
lanacion,politica,"vía,fuerza,exministro,economista","tercero,principal","competir,ir","Florencio Randazzo,José Luis Espert","vía,fuerza,exministro,economista,tercero,principal,competir,ir",0,0.0235294117647059,0,0.136363636363636,0.0487804878048781,0,personalidad,positiva
lanacion,politica,"","","",Nicolás del Caño,",,",0,0,0,0,0,0,otras,neutra
lanacion,politica,"planteo,antípoda,debate,porcentaje,pobreza,lista,diputado,frente,lista,legislador","igual,nacional,bonaerense","hacer,estar,tener,reducir,querer,gestionar,denunciar,ir,encabezar",Myriam Bregman,"planteo,antípoda,debate,porcentaje,pobreza,lista,diputado,frente,lista,legislador,igual,nacional,bonaerense,hacer,estar,tener,reducir,querer,gestionar,denunciar,ir,encabezar",0,0,0.0545454545454545,0,0,0,ideologia,neutra
lanacion,politica,"precandidato,parte,lema,izquierda,provincia,municipio","nuevo,nuevo,nuevo,bonaerense","renovar,competir","Manuela Castañeira,Manuela Castañeira","precandidato,parte,lema,izquierda,provincia,municipio,nuevo,nuevo,nuevo,bonaerense,renovar,competir",0,0.0340909090909091,0,0,0,0.0277777777777778,gestion,negativa
lanacion,politica,"lista,exvicegobernador,provincia,jefe,gabinete","","terciacer,postular,reemplazar",Florencio Randazzo,"lista,exvicegobernador,provincia,jefe,gabinete,,terciacer,postular,reemplazar",0,0.0238095238095238,0,0.0434782608695652,0,0,personalidad,neutra
lanacion,politica,"lista,empresario,profesional,apoyo,bodeguero","",impulsar,Ricardo López Murphy,"lista,empresario,profesional,apoyo,bodeguero,,impulsar",0,0,0,0,0,0,otras,neutra
lanacion,politica,"espacio,lista,cuarto,interna,candidato,diputado,legislador","mayoritario,junto,oscuro,encabezado,junto,primero,nacional,actual,porteño","tener,poder,tener","María Eugenia Vidal,Ricardo López Murphy,Adolfo Rubinstein,Leandro Santoro","espacio,lista,cuarto,interna,candidato,diputado,legislador,mayoritario,junto,oscuro,encabezado,junto,primero,nacional,actual,porteño,tener,poder,tener",0,0.0315789473684211,0.0660377358490566,0,0,0.0232558139534884,ideologia,negativa
lanacion,politica,"elección,bastión",desafiant,perfilar,Leandro Santoro,"elección,bastión,desafiant,perfilar",0,0,0,0,0,0,otras,neutra
lanacion,politica,campaña,"","",Diego Santilli,"campaña,,",0,0,0,0,0,0,otras,neutra
lanacion,politica,"diferencia,campaña,territorio,oficialismo,vicepresidenta,presidente,distrito,carta,imagen,campaña,espacio,café","bonaerense,porteño,nacionalizado,público,porteño","mostrar,acompañar,jugar,apostar,ver",Victoria Tolosa Paz,"diferencia,campaña,territorio,oficialismo,vicepresidenta,presidente,distrito,carta,imagen,campaña,espacio,café,bonaerense,porteño,nacionalizado,público,porteño,mostrar,acompañar,jugar,apostar,ver",0,0.0520833333333333,0.0545454545454545,0,0.0178571428571429,0,ideologia,positiva
